"","Name","Party","Rank","VoteCount","VoteShare","Title"
"1138","Marcelino Vasquez","Other Parties","2 of 2","1,293","19.6%","Election Results for 1999 General Election, Alderman, Ward 25, Chicago, IL"
"1139","Billy Ocasio","Other Parties","1 of 3","4,086","53.8%","Election Results for 1999 General Election, Alderman, Ward 26, Chicago, IL"
"1140","Ray Rubio","Other Parties","2 of 3","3,186","41.9%","Election Results for 1999 General Election, Alderman, Ward 26, Chicago, IL"
"1141","Royland Ocasio","Other Parties","3 of 3","323","4.3%","Election Results for 1999 General Election, Alderman, Ward 26, Chicago, IL"
"1142","Walter Burnett, Jr.","Other Parties","1 of 2","8,110","76.9%","Election Results for 1999 General Election, Alderman, Ward 27, Chicago, IL"
"1143","Rickey R. Hendon","Democratic Party","2 of 2","2,434","23.1%","Election Results for 1999 General Election, Alderman, Ward 27, Chicago, IL"
"1144","Ed H. Smith","Democratic Party","1 of 4","6,142","71.5%","Election Results for 1999 General Election, Alderman, Ward 28, Chicago, IL"
"1145","Karl A. Brinson","Other Parties","2 of 4","1,430","16.6%","Election Results for 1999 General Election, Alderman, Ward 28, Chicago, IL"
"1146","Michael Trotter","Other Parties","3 of 4","727","8.5%","Election Results for 1999 General Election, Alderman, Ward 28, Chicago, IL"
"1147","Grady Norwood, Jr.","Other Parties","4 of 4","296","3.4%","Election Results for 1999 General Election, Alderman, Ward 28, Chicago, IL"
"1148","Isaac Sims Carothers","Other Parties","1 of 9","4,623","40.9%","Election Results for 1999 General Election, Alderman, Ward 29, Chicago, IL"
"1149","Floyd Thomas","Other Parties","2 of 9","1,942","17.2%","Election Results for 1999 General Election, Alderman, Ward 29, Chicago, IL"
"1150","Sam Burrell","Other Parties","3 of 9","1,714","15.2%","Election Results for 1999 General Election, Alderman, Ward 29, Chicago, IL"
"1151","Darnetta K. Tyus","Other Parties","4 of 9","990","8.8%","Election Results for 1999 General Election, Alderman, Ward 29, Chicago, IL"
"1152","C. B. Johnson","Other Parties","5 of 9","793","7.0%","Election Results for 1999 General Election, Alderman, Ward 29, Chicago, IL"
"1153","Mary Russell Gardner","Other Parties","6 of 9","609","5.4%","Election Results for 1999 General Election, Alderman, Ward 29, Chicago, IL"
"1154","Oddis Johnson","Other Parties","7 of 9","352","3.1%","Election Results for 1999 General Election, Alderman, Ward 29, Chicago, IL"
"1155","James Ruffin","Other Parties","8 of 9","137","1.2%","Election Results for 1999 General Election, Alderman, Ward 29, Chicago, IL"
"1156","Thomas E. Kato, Sr.","Other Parties","9 of 9","132","1.2%","Election Results for 1999 General Election, Alderman, Ward 29, Chicago, IL"
"1157","Dorothy J. Tillman","Democratic Party","1 of 9","4,522","56.4%","Election Results for 1999 General Election, Alderman, Ward 3, Chicago, IL"
"1158","Patricia L. Hill","Other Parties","2 of 9","1,707","21.3%","Election Results for 1999 General Election, Alderman, Ward 3, Chicago, IL"
"1159","Wallace Bradley","Other Parties","3 of 9","462","5.8%","Election Results for 1999 General Election, Alderman, Ward 3, Chicago, IL"
"1160","Francine Washington","Other Parties","4 of 9","443","5.5%","Election Results for 1999 General Election, Alderman, Ward 3, Chicago, IL"
"1161","Myra D. Penny","Other Parties","5 of 9","297","3.7%","Election Results for 1999 General Election, Alderman, Ward 3, Chicago, IL"
"1162","Dorothy Olivier-harris","Other Parties","6 of 9","269","3.4%","Election Results for 1999 General Election, Alderman, Ward 3, Chicago, IL"
"1163","Lisa Hughes","Other Parties","7 of 9","169","2.1%","Election Results for 1999 General Election, Alderman, Ward 3, Chicago, IL"
"1164","Jerone P. Morgan","Other Parties","8 of 9","90","1.1%","Election Results for 1999 General Election, Alderman, Ward 3, Chicago, IL"
"1165","Lula Mae Clay","Democratic Party","9 of 9","52","0.6%","Election Results for 1999 General Election, Alderman, Ward 3, Chicago, IL"
"1166","Michael A. Wojcik","Democratic Party","1 of 3","7,714","82.9%","Election Results for 1999 General Election, Alderman, Ward 30, Chicago, IL"
"1167","Frank J. Brown","Other Parties","2 of 3","825","8.9%","Election Results for 1999 General Election, Alderman, Ward 30, Chicago, IL"
"1168","Chester R. Hornowski","Republican Party","3 of 3","763","8.2%","Election Results for 1999 General Election, Alderman, Ward 30, Chicago, IL"
"1169","Regner Suarez","Other Parties","1 of 4","4,944","62.5%","Election Results for 1999 General Election, Alderman, Ward 31, Chicago, IL"
"1170","Magali Rodriguez","Other Parties","2 of 4","2,359","29.8%","Election Results for 1999 General Election, Alderman, Ward 31, Chicago, IL"
"1171","Martha Soto","Other Parties","3 of 4","489","6.2%","Election Results for 1999 General Election, Alderman, Ward 31, Chicago, IL"
"1172","Jose M. Rodriguez","Other Parties","4 of 4","119","1.5%","Election Results for 1999 General Election, Alderman, Ward 31, Chicago, IL"
"1173","Theodore A. Matlak","Other Parties","1 of 4","6,725","54.3%","Election Results for 1999 General Election, Alderman, Ward 32, Chicago, IL"
"1174","Lorna Brett","Other Parties","2 of 4","4,019","32.5%","Election Results for 1999 General Election, Alderman, Ward 32, Chicago, IL"
"1175","Peter Donoghue","Other Parties","3 of 4","1,512","12.2%","Election Results for 1999 General Election, Alderman, Ward 32, Chicago, IL"
"1176","Richard T. Eilenberger","Other Parties","4 of 4","121","1.0%","Election Results for 1999 General Election, Alderman, Ward 32, Chicago, IL"
"1177","Richard F. Mell","Democratic Party","1 of 2","8,310","89.9%","Election Results for 1999 General Election, Alderman, Ward 33, Chicago, IL"
"1178","Glenn J. Swift","Other Parties","2 of 2","934","10.1%","Election Results for 1999 General Election, Alderman, Ward 33, Chicago, IL"
"1179","Carrie M. Austin","Other Parties","1 of 6","9,915","69.5%","Election Results for 1999 General Election, Alderman, Ward 34, Chicago, IL"
"1180","Frank N. Thomas","Other Parties","2 of 6","1,795","12.6%","Election Results for 1999 General Election, Alderman, Ward 34, Chicago, IL"
"1181","Anthony Davenport","Other Parties","3 of 6","1,015","7.1%","Election Results for 1999 General Election, Alderman, Ward 34, Chicago, IL"
"1182","Jeffrey D. Burt","Democratic Party","4 of 6","745","5.2%","Election Results for 1999 General Election, Alderman, Ward 34, Chicago, IL"
"1183","Bertina L. Alston","Other Parties","5 of 6","539","3.8%","Election Results for 1999 General Election, Alderman, Ward 34, Chicago, IL"
"1184","Steve King","Other Parties","6 of 6","256","1.8%","Election Results for 1999 General Election, Alderman, Ward 34, Chicago, IL"
"1185","Vilma Colom","Democratic Party","1 of 2","4,961","61.1%","Election Results for 1999 General Election, Alderman, Ward 35, Chicago, IL"
"1186","Rey Colon","Other Parties","2 of 2","3,154","38.9%","Election Results for 1999 General Election, Alderman, Ward 35, Chicago, IL"
"1187","William J. P. Banks","Other Parties","1 of 1","13,716","100.0%","Election Results for 1999 General Election, Alderman, Ward 36, Chicago, IL"
"1188","Percy Z. Giles","Democratic Party","1 of 5","4,887","52.1%","Election Results for 1999 General Election, Alderman, Ward 37, Chicago, IL"
"1189","John Baggett","Other Parties","2 of 5","2,191","23.4%","Election Results for 1999 General Election, Alderman, Ward 37, Chicago, IL"
"1190","Kenneth Campbell","Democratic Party","3 of 5","998","10.6%","Election Results for 1999 General Election, Alderman, Ward 37, Chicago, IL"
"1191","Minerva Orozco","Other Parties","4 of 5","683","7.3%","Election Results for 1999 General Election, Alderman, Ward 37, Chicago, IL"
"1192","Johnny Johnson","Other Parties","5 of 5","616","6.6%","Election Results for 1999 General Election, Alderman, Ward 37, Chicago, IL"
"1193","Thomas R. Allen","Other Parties","1 of 1","12,283","100.0%","Election Results for 1999 General Election, Alderman, Ward 38, Chicago, IL"
"1194","Margaret Laurino","Other Parties","1 of 3","7,410","61.5%","Election Results for 1999 General Election, Alderman, Ward 39, Chicago, IL"
"1195","Donald M. Hodgkinson","Republican Party","2 of 3","4,397","36.5%","Election Results for 1999 General Election, Alderman, Ward 39, Chicago, IL"
"1196","Bernd M. P. Fromm","Other Parties","3 of 3","251","2.1%","Election Results for 1999 General Election, Alderman, Ward 39, Chicago, IL"
"1197","Toni Preckwinkle","Democratic Party","1 of 3","7,069","60.5%","Election Results for 1999 General Election, Alderman, Ward 4, Chicago, IL"
"1198","Charles S. Williams","Other Parties","2 of 3","2,540","21.7%","Election Results for 1999 General Election, Alderman, Ward 4, Chicago, IL"
"1199","Kwame Raoul","Democratic Party","3 of 3","2,082","17.8%","Election Results for 1999 General Election, Alderman, Ward 4, Chicago, IL"
"1200","Patrick J. O'connor","Democratic Party","1 of 1","7,746","100.0%","Election Results for 1999 General Election, Alderman, Ward 40, Chicago, IL"
"1201","Brian G. Doherty","Other Parties","1 of 2","14,182","74.6%","Election Results for 1999 General Election, Alderman, Ward 41, Chicago, IL"
"1202","Daniel E. Burke","Other Parties","2 of 2","4,822","25.4%","Election Results for 1999 General Election, Alderman, Ward 41, Chicago, IL"
"1203","Burton F. Natarus","Democratic Party","1 of 4","8,059","55.7%","Election Results for 1999 General Election, Alderman, Ward 42, Chicago, IL"
"1204","Dennis O'neill","Other Parties","2 of 4","5,333","36.9%","Election Results for 1999 General Election, Alderman, Ward 42, Chicago, IL"
"1205","Arthur Edward Engelland","Other Parties","3 of 4","808","5.6%","Election Results for 1999 General Election, Alderman, Ward 42, Chicago, IL"
"1206","Thomas G. Macey","Other Parties","4 of 4","269","1.9%","Election Results for 1999 General Election, Alderman, Ward 42, Chicago, IL"
"1207","Vi Daley","Other Parties","1 of 2","6,941","66.6%","Election Results for 1999 General Election, Alderman, Ward 43, Chicago, IL"
"1208","Chris Cleveland","Other Parties","2 of 2","3,480","33.4%","Election Results for 1999 General Election, Alderman, Ward 43, Chicago, IL"
"1209","Bernard J. Hansen","Democratic Party","1 of 2","8,112","77.3%","Election Results for 1999 General Election, Alderman, Ward 44, Chicago, IL"
"1210","Kai Abelkis","Other Parties","2 of 2","2,379","22.7%","Election Results for 1999 General Election, Alderman, Ward 44, Chicago, IL"
"1211","Patrick J. Levar","Democratic Party","1 of 1","14,199","100.0%","Election Results for 1999 General Election, Alderman, Ward 45, Chicago, IL"
"1212","Helen Shiller","Democratic Party","1 of 4","5,798","49.3%","Election Results for 1999 General Election, Alderman, Ward 46, Chicago, IL"
"1213","Sandra M. Reed","Other Parties","2 of 4","2,476","21.0%","Election Results for 1999 General Election, Alderman, Ward 46, Chicago, IL"
"1214","Katharine Nathan","Other Parties","3 of 4","2,339","19.9%","Election Results for 1999 General Election, Alderman, Ward 46, Chicago, IL"
"1215","Cindi Anderson","Other Parties","4 of 4","1,158","9.8%","Election Results for 1999 General Election, Alderman, Ward 46, Chicago, IL"
"1216","Gene Schulter","Other Parties","1 of 1","9,374","100.0%","Election Results for 1999 General Election, Alderman, Ward 47, Chicago, IL"
"1217","Mary Ann Smith","Other Parties","1 of 2","7,346","79.0%","Election Results for 1999 General Election, Alderman, Ward 48, Chicago, IL"
"1218","Marvin Robinson","Other Parties","2 of 2","1,951","21.0%","Election Results for 1999 General Election, Alderman, Ward 48, Chicago, IL"
"1219","Joe Moore","Other Parties","1 of 4","4,335","64.1%","Election Results for 1999 General Election, Alderman, Ward 49, Chicago, IL"
"1220","Karen N. Hoover","Other Parties","2 of 4","1,050","15.5%","Election Results for 1999 General Election, Alderman, Ward 49, Chicago, IL"
"1221","Gregory George Balos","Other Parties","3 of 4","798","11.8%","Election Results for 1999 General Election, Alderman, Ward 49, Chicago, IL"
"1222","Grady A. Humphrey","Democratic Party","4 of 4","579","8.6%","Election Results for 1999 General Election, Alderman, Ward 49, Chicago, IL"
"1223","Barbara Holt","Other Parties","1 of 6","5,140","43.8%","Election Results for 1999 General Election, Alderman, Ward 5, Chicago, IL"
"1224","Leslie A. Hairston","Other Parties","2 of 6","3,484","29.7%","Election Results for 1999 General Election, Alderman, Ward 5, Chicago, IL"
"1225","Sandra Williams-bey","Other Parties","3 of 6","914","7.8%","Election Results for 1999 General Election, Alderman, Ward 5, Chicago, IL"
"1226","Dion Trotter","Other Parties","4 of 6","876","7.5%","Election Results for 1999 General Election, Alderman, Ward 5, Chicago, IL"
"1227","Oscar Worrill","Other Parties","5 of 6","812","6.9%","Election Results for 1999 General Election, Alderman, Ward 5, Chicago, IL"
"1228","Tony Wells","Other Parties","6 of 6","518","4.4%","Election Results for 1999 General Election, Alderman, Ward 5, Chicago, IL"
"1229","Bernard L. Stone","Democratic Party","1 of 1","7,820","100.0%","Election Results for 1999 General Election, Alderman, Ward 50, Chicago, IL"
"1230","Freddrenna M. Lyle","Other Parties","1 of 5","9,000","59.4%","Election Results for 1999 General Election, Alderman, Ward 6, Chicago"
"1231","Eugene C. Davis","Other Parties","2 of 5","3,199","21.1%","Election Results for 1999 General Election, Alderman, Ward 6, Chicago"
"1232","Randall E. Caldwell","Other Parties","3 of 5","1,244","8.2%","Election Results for 1999 General Election, Alderman, Ward 6, Chicago"
"1233","Leonard T. Barr","Other Parties","4 of 5","939","6.2%","Election Results for 1999 General Election, Alderman, Ward 6, Chicago"
"1234","Sylvester E. Baker, Jr.","Other Parties","5 of 5","776","5.1%","Election Results for 1999 General Election, Alderman, Ward 6, Chicago"
"1235","William M. Beavers","Democratic Party","1 of 5","7,346","64.3%","Election Results for 1999 General Election, Alderman, Ward 7, Chicago, IL"
"1236","Johnny Acoff","Other Parties","2 of 5","1,519","13.3%","Election Results for 1999 General Election, Alderman, Ward 7, Chicago, IL"
"1237","Esther D. Sharif","Other Parties","3 of 5","1,372","12.0%","Election Results for 1999 General Election, Alderman, Ward 7, Chicago, IL"
"1238","Robert H. Haynes","Other Parties","4 of 5","693","6.1%","Election Results for 1999 General Election, Alderman, Ward 7, Chicago, IL"
"1239","Keith B. Kysel","Other Parties","5 of 5","493","4.3%","Election Results for 1999 General Election, Alderman, Ward 7, Chicago, IL"
"1240","Lorraine L. Dixon","Other Parties","1 of 3","11,421","68.1%","Election Results for 1999 General Election, Alderman, Ward 8, Chicago, IL"
"1241","John Davis","Other Parties","2 of 3","4,586","27.3%","Election Results for 1999 General Election, Alderman, Ward 8, Chicago, IL"
"1242","Sharon Ann Adams","Other Parties","3 of 3","766","4.6%","Election Results for 1999 General Election, Alderman, Ward 8, Chicago, IL"
"1243","Herbert Shaw","Other Parties","1 of 10","3,811","31.7%","Election Results for 1999 General Election, Alderman, Ward 9, Chicago, IL"
"1244","Anthony Beale","Other Parties","2 of 10","3,162","26.3%","Election Results for 1999 General Election, Alderman, Ward 9, Chicago, IL"
"1245","Johnny J. O'neal","Democratic Party","3 of 10","1,776","14.8%","Election Results for 1999 General Election, Alderman, Ward 9, Chicago, IL"
"1246","Nancy Wimberly","Other Parties","4 of 10","991","8.3%","Election Results for 1999 General Election, Alderman, Ward 9, Chicago, IL"
